AVG_GRD,Activity_Type,AvgCourse,AvgInstructor,Course,CourseTitle,CrsLvlNum,CrsPBAColl,CrsPBADept,CrsPBADiv,Honors,Hours,Instruction_Mode,Level,NComb,NIntrFCQ,N,PCT,RAP,Section,Subject,Subject_Label,Workload,YearTerm,Instructors
3.56,LEC - Lecture,5.15,5.59,3013,School and Society,3XXX,EB,EDUC,,0,3,P  - In Person,Upper,1,1,,,0,003,EDUC,Education,,20137,
3.54,LEC - Lecture,4.19,4.88,3013,School and Society,3XXX,EB,EDUC,,0,3,P  - In Person,Upper,1,1,,,0,004,EDUC,Education,,20137,
3.45,LEC - Lecture,4.82,4.82,3013,School and Society,3XXX,EB,EDUC,,0,3,P  - In Person,Upper,1,1,,,0,005,EDUC,Education,,20137,
3.4,LEC - Lecture,4.78,5.56,3013,School and Society,3XXX,EB,EDUC,,0,3,P  - In Person,Upper,1,1,,,0,006,EDUC,Education,,20137,
3.47,LEC - Lecture,3.71,4.36,3013,School and Society,3XXX,EB,EDUC,,0,3,P  - In Person,Upper,1,1,,,0,007,EDUC,Education,,20137,
3.63,LEC - Lecture,4.75,4.88,3013,School and Society,3XXX,EB,EDUC,,0,3,P  - In Person,Upper,1,1,,,0,008,EDUC,Education,,20137,
3.9,LEC - Lecture,5.43,5.77,3013,School and Society,3XXX,EB,EDUC,,0,3,P  - In Person,Upper,1,1,,,0,009,EDUC,Education,,20137,
3.74,LEC - Lecture,4.07,3.53,3013,School and Society,3XXX,EB,EDUC,,0,3,P  - In Person,Upper,1,1,,,0,010,EDUC,Education,,20137,
3.71,LEC - Lecture,5.2,5.77,3013,School and Society,3XXX,EB,EDUC,,0,3,P  - In Person,Upper,1,1,,,0,011,EDUC,Education,,20137,
3.86,LEC - Lecture,5.44,5.78,3013,School and Society,3XXX,EB,EDUC,,0,3,P  - In Person,Upper,1,1,,,0,013,EDUC,Education,,20137,
3.79,LEC - Lecture,5.68,5.68,3013,School and Society,3XXX,EB,EDUC,,0,3,P  - In Person,Upper,1,1,,,1,801,EDUC,Education,,20137,
3.45,LEC - Lecture,5.89,5.94,3013,School and Society,3XXX,EB,EDUC,,0,3,P  - In Person,Upper,1,1,,,1,802,EDUC,Education,,20137,
3.91,LEC - Lecture,4.86,4.86,3570,Learning With Technology In and Out of School,3XXX,EB,EDUC,,0,3,P  - In Person,Upper,1,1,,,0,001,EDUC,Education,,20137,
3.85,LEC - Lecture,5.04,5.13,4023,Differentiating Instruction in Diverse Secondary Classrooms,4XXX,EB,EDUC,,0,3,P  - In Person,Upper,1,1,,,0,010,EDUC,Education,,20137,
3.59,SEM - Seminar,4.8,5.13,4050,Knowing and Learning in Mathematics and  Science,4XXX,EB,EDUC,,0,3,P  - In Person,Upper,1,1,,,0,001,EDUC,Education,,20137,
3.8,SEM - Seminar,5.25,5.5,4060,Classroom Interactions,4XXX,EB,EDUC,,0,3,P  - In Person,Upper,2,1,,,0,010,EDUC,Education,,20137,
3.52,LEC - Lecture,4.1,4.46,4112,Educational Psychology and Adolescent Development,4XXX,EB,EDUC,,0,3,P  - In Person,Upper,2,2,,,0,001,EDUC,Education,,20137,
4,SEM - Seminar,5.47,5.73,4135,Story and Memoir,4XXX,EB,EDUC,,0,3,P  - In Person,Upper,2,1,,,0,001,EDUC,Education,,20137,
3.6,LEC - Lecture,5,5.36,4222,Language Study for Educators,4XXX,EB,EDUC,,0,3,P  - In Person,Upper,2,1,,,0,001,EDUC,Education,,20137,
3.82,SEM - Seminar,5.27,5.73,4295,Reading and Literacy in the Secondary Classroom,4XXX,EB,EDUC,,0,3,P  - In Person,Upper,2,1,,,0,010,EDUC,Education,,20137,
3.94,LEC - Lecture,4.67,4.9,4311,Children's Literature and Literacy Engagement in Elementary Schools,4XXX,EB,EDUC,,0,3,P  - In Person,Upper,1,1,,,0,001,EDUC,Education,,20137,
3.63,LEC - Lecture,5.69,5.88,4311,Children's Literature and Literacy Engagement in Elementary Schools,4XXX,EB,EDUC,,0,3,P  - In Person,Upper,1,1,,,0,002,EDUC,Education,,20137,
3.51,LEC - Lecture,5.55,5.83,4311,Children's Literature and Literacy Engagement in Elementary Schools,4XXX,EB,EDUC,,0,3,P  - In Person,Upper,1,1,,,0,003,EDUC,Education,,20137,
3.89,LEC - Lecture,4.47,5.33,4318,"The Nature of ""English Language Arts""",4XXX,EB,EDUC,,0,3,P  - In Person,Upper,2,1,,,0,001,EDUC,Education,,20137,
3.84,LEC - Lecture,5.78,5.89,4321,Writing Instruction for Elementary Schools,4XXX,EB,EDUC,,0,5,P  - In Person,Upper,1,2,,,0,010,EDUC,Education,,20137,
3.83,LEC - Lecture,5.73,5.87,4321,Writing Instruction for Elementary Schools,4XXX,EB,EDUC,,0,5,P  - In Person,Upper,1,2,,,0,020,EDUC,Education,,20137,
3.96,LEC - Lecture,5.03,5,4321,Writing Instruction for Elementary Schools,4XXX,EB,EDUC,,0,5,P  - In Person,Upper,1,2,,,0,030,EDUC,Education,,20137,
3.67,LEC - Lecture,,,4331,Elementary Social Studies Methods,4XXX,EB,EDUC,,0,3,P  - In Person,Upper,1,1,,,0,010,EDUC,Education,,20137,
3.87,LEC - Lecture,5.48,5.52,4341,Elementary Reading Assessment and Instruction,4XXX,EB,EDUC,,0,3,P  - In Person,Upper,1,1,,,0,010,EDUC,Education,,20137,
3.7,LEC - Lecture,5.55,5.78,4351,Differentiating Instruction in Diverse Elementary Classrooms,4XXX,EB,EDUC,,0,3,P  - In Person,Upper,1,1,,,0,010,EDUC,Education,,20137,
3.88,LEC - Lecture,4.52,5.7,4411,Educational Psychology for Elementary Schools,4XXX,EB,EDUC,,0,3,P  - In Person,Upper,1,1,,,0,010,EDUC,Education,,20137,
3.79,LEC - Lecture,4.91,4.91,4411,Educational Psychology for Elementary Schools,4XXX,EB,EDUC,,0,3,P  - In Person,Upper,1,1,,,0,030,EDUC,Education,,20137,
3.93,SEM - Seminar,3.76,5.23,4610,Math and Science Education,4XXX,EB,EDUC,,0,2,P  - In Person,Upper,1,1,,,0,001,EDUC,Education,,20137,
3.88,SEM - Seminar,3.64,4.64,4610,Math and Science Education,4XXX,EB,EDUC,,0,2,P  - In Person,Upper,1,1,,,0,002,EDUC,Education,,20137,
3.99,SEM - Seminar,2.63,3.88,4610,Math and Science Education,4XXX,EB,EDUC,,0,2,P  - In Person,Upper,1,1,,,0,003,EDUC,Education,,20137,
,PRA - Practicum,,,4691,Student Teaching: Elementary School 1,4XXX,EB,EDUC,,0,10,P  - In Person,Upper,1,,,,0,001,EDUC,Education,,20137,
,PRA - Practicum,,,4712,Student Teaching: Secondary School,4XXX,EB,EDUC,,0,10,P  - In Person,Upper,1,,,,0,001,EDUC,Education,,20137,
3.61,LEC - Lecture,3.4,4.33,4716,Basic Statistical Methods,4XXX,EB,EDUC,,0,3,P  - In Person,Upper,1,1,,,0,001,EDUC,Education,,20137,
3.43,LEC - Lecture,5.55,5.78,4800,Special Topics,4XXX,EB,EDUC,,0,1,P  - In Person,Upper,1,1,,,1,802,EDUC,Education,,20137,
3.67,SEM - Seminar,4.81,5.11,4811,Teaching and Learning Biology,4XXX,EB,EDUC,,0,3,P  - In Person,Upper,4,2,,,0,002,EDUC,Education,,20137,
3.95,LEC - Lecture,5.79,5.93,5005,Advanced Social Foundations of Education,5XXX,EB,EDUC,,0,3,P  - In Person,Masters,1,1,,,0,002,EDUC,Education,,20137,
3.82,LEC - Lecture,3.15,3.25,5205,Elementary Mathematics Theory and Methods,5XXX,EB,EDUC,,0,3,P  - In Person,Masters,1,1,,,0,010,EDUC,Education,,20137,
3.66,LEC - Lecture,3.95,4.05,5215,Elementary Science Theory and Methods,5XXX,EB,EDUC,,0,3,P  - In Person,Masters,1,1,,,0,010,EDUC,Education,,20137,
4,LEC - Lecture,5.27,5.5,5245,Foundations of Reading Instruction K-12,5XXX,EB,EDUC,,0,3,P  - In Person,Masters,1,1,,,0,001,EDUC,Education,,20137,
3.91,SEM - Seminar,5,5.33,5315,Perspectives on Science,5XXX,EB,EDUC,,0,3,P  - In Person,Masters,1,1,,,0,001,EDUC,Education,,20137,
3.95,LEC - Lecture,5.83,5.83,5316,Nature of Social Studies and Social Studies Education,5XXX,EB,EDUC,,0,3,P  - In Person,Masters,1,1,,,0,001,EDUC,Education,,20137,
3.71,SEM - Seminar,5.28,5.61,5317,Perspectives on Mathematics,5XXX,EB,EDUC,,0,3,P  - In Person,Masters,1,1,,,0,001,EDUC,Education,,20137,
4,LEC - Lecture,5.9,6,5325,Teaching Literature in Middle and Secondary Schools,5XXX,EB,EDUC,,0,3,P  - In Person,Masters,1,1,,,0,010,EDUC,Education,,20137,
4,LEC - Lecture,5.75,5.92,5365,Methods and Materials in Secondary English,5XXX,EB,EDUC,,0,4,P  - In Person,Masters,1,1,,,0,010,EDUC,Education,,20137,
3.62,LEC - Lecture,5.58,5.75,5425,Introduction to Bilingual/Multicultural Education,5XXX,EB,EDUC,,0,3,P  - In Person,Masters,2,1,,,0,001,EDUC,Education,,20137,
3.92,LEC - Lecture,,,5525,Research Issues in Special Education,5XXX,EB,EDUC,,0,3,P  - In Person,Masters,2,,,,0,001,EDUC,Education,,20137,
3.62,LEC - Lecture,2.88,2.94,5525,Research Issues in Special Education,5XXX,EB,EDUC,,0,3,OL - Online,Masters,2,1,,,0,002,EDUC,Education,,20137,
3.82,LEC - Lecture,5,5.4,5535,Diagnostic Testing in ESL and Bilingual Education,5XXX,EB,EDUC,,0,3,P  - In Person,Masters,1,1,,,0,001,EDUC,Education,,20137,
3.89,LEC - Lecture,5.42,5.68,5615,Second Language Acquisition,5XXX,EB,EDUC,,0,3,P  - In Person,Masters,1,1,,,0,001,EDUC,Education,,20137,
3.93,LEC - Lecture,4.27,5,5716,Basic Statistical Methods,5XXX,EB,EDUC,,0,3,P  - In Person,Masters,1,1,,,0,001,EDUC,Education,,20137,
4,LEC - Lecture,4.64,4.93,5726,Introduction to Disciplined Inquiry,5XXX,EB,EDUC,,0,3,P  - In Person,Masters,1,1,,,0,001,EDUC,Education,,20137,
4,LEC - Lecture,5.43,5.71,6318,Psychological Foundations of Education,6XXX,EB,EDUC,,0,3,P  - In Person,Masters,1,1,,,0,001,EDUC,Education,,20137,
3.85,SEM - Seminar,4.45,5.18,8014,Doctoral Seminar: Multiculturalism and Education,8XXX,EB,EDUC,,0,3,P  - In Person,Doctoral,1,1,,,0,001,EDUC,Education,,20137,
4,SEM - Seminar,5.88,6,8210,Perspectives on Classroom Teaching and Learning,8XXX,EB,EDUC,,0,3,P  - In Person,Doctoral,1,1,,,0,001,EDUC,Education,,20137,
3.65,LEC - Lecture,4.5,5.14,8230,Quantitative Methods I,8XXX,EB,EDUC,,0,3,P  - In Person,Doctoral,1,1,,,0,010,EDUC,Education,,20137,
3.83,SEM - Seminar,5.11,5.61,8250,Qualitative Methods I,8XXX,EB,EDUC,,0,3,P  - In Person,Doctoral,1,2,,,0,001,EDUC,Education,,20137,
4,SEM - Seminar,5.38,5.5,8348,Seminar: Human Development,8XXX,EB,EDUC,,0,3,P  - In Person,Doctoral,1,1,,,0,001,EDUC,Education,,20137,
3.91,SEM - Seminar,5.26,5.74,8710,Measurement in Survey Research,8XXX,EB,EDUC,,0,3,P  - In Person,Doctoral,1,1,,,0,001,EDUC,Education,,20137,
4,SEM - Seminar,5.11,5.33,8804,Special Topics,8XXX,EB,EDUC,,0,3,P  - In Person,Doctoral,1,1,,,0,002,EDUC,Education,,20137,
3.59,LEC - Lecture,5.6,5.71,1400,Gateway to Space,1XXX,EN,ASEN,,0,3,P  - In Person,Lower,2,1,,,0,001,ASEN,Aerospace Engineering,,20137,
2.89,LEC - Lecture,5.11,5.51,2001,"Aerospace 1: Introduction to Statics, Structures, and Materials",2XXX,EN,ASEN,,0,4,P  - In Person,Lower,1,2,,,0,010,ASEN,Aerospace Engineering,,20137,
2.79,LEC - Lecture,4.73,4.97,2002,Aerospace 2: Introduction to Thermodynamics and Aerodynamics,2XXX,EN,ASEN,,0,4,P  - In Person,Lower,1,2,,,0,010,ASEN,Aerospace Engineering,,20137,
2.78,LEC - Lecture,3.02,4.26,2012,Experimental and Computational Methods in Aerospace Engineering Sciences,2XXX,EN,ASEN,,0,2,P  - In Person,Lower,1,1,,,0,001,ASEN,Aerospace Engineering,,20137,
3.66,LEC - Lecture,5.16,5.61,3046,Introduction to Humans in Aviation,3XXX,EN,ASEN,,0,3,P  - In Person,Upper,1,1,,,0,002,ASEN,Aerospace Engineering,,20137,
3.19,LEC - Lecture,5.11,5.16,3111,Aerodynamics,3XXX,EN,ASEN,,0,4,P  - In Person,Upper,1,1,,,0,010,ASEN,Aerospace Engineering,,20137,
3.19,LEC - Lecture,5.12,5.63,3112,Structures,3XXX,EN,ASEN,,0,4,P  - In Person,Upper,1,1,,,0,010,ASEN,Aerospace Engineering,,20137,
3.21,LEC - Lecture,3.81,3.58,3113,Thermodynamics and Heat Transfer,3XXX,EN,ASEN,,0,4,P  - In Person,Upper,1,2,,,0,010,ASEN,Aerospace Engineering,,20137,
3.18,LEC - Lecture,4.25,5.2,4013,Foundations of Propulsion,4XXX,EN,ASEN,,0,3,P  - In Person,Upper,1,1,,,0,001,ASEN,Aerospace Engineering,,20137,
3.15,LEC - Lecture,4.32,3.88,4018,Senior Projects 1: Design Synthesis,4XXX,EN,ASEN,,0,4,P  - In Person,Upper,1,1,,,0,010,ASEN,Aerospace Engineering,,20137,
3.29,LEC - Lecture,5.04,5.28,4114,Automatic Control Systems,4XXX,EN,ASEN,,0,3,P  - In Person,Upper,2,1,,,0,010,ASEN,Aerospace Engineering,,20137,
3.7,LEC - Lecture,5.79,6,4138,Aircraft Design,4XXX,EN,ASEN,,0,3,P  - In Person,Upper,1,1,,,0,010,ASEN,Aerospace Engineering,,20137,
3.5,LEC - Lecture,5.55,5.6,4519,Special Topics,4XXX,EN,ASEN,,0,3,P  - In Person,Upper,2,1,,,0,010,ASEN,Aerospace Engineering,,20137,
3.91,LEC - Lecture,4.82,5.14,5007,Introduction to Finite Elements,5XXX,EN,ASEN,,0,3,P  - In Person,Masters,1,1,,,0,001,ASEN,Aerospace Engineering,,20137,
3.93,LEC - Lecture,5.5,5.91,5018,Graduate Projects I,5XXX,EN,ASEN,,0,3,P  - In Person,Masters,3,1,,,0,010,ASEN,Aerospace Engineering,,20137,
3.78,LEC - Lecture,5.49,5.83,5050,Space Flight Dynamics,5XXX,EN,ASEN,,0,3,P  - In Person,Masters,1,1,,,0,001,ASEN,Aerospace Engineering,,20137,
3.42,LEC - Lecture,5.23,5.37,5070,Introduction to Statistical Orbit Determination 1,5XXX,EN,ASEN,,0,3,P  - In Person,Masters,1,1,,,0,002,ASEN,Aerospace Engineering,,20137,
3.87,LEC - Lecture,4.12,4.23,5090,Introduction to Global Navigation Satellite Systems,5XXX,EN,ASEN,,0,3,P  - In Person,Masters,1,1,,,0,001,ASEN,Aerospace Engineering,,20137,
3.79,LEC - Lecture,5.37,5.58,5158,Space Habitat Design,5XXX,EN,ASEN,,0,3,P  - In Person,Masters,1,1,,,0,001,ASEN,Aerospace Engineering,,20137,
3.64,LEC - Lecture,4.47,5.23,5227,Mathematics for Aerospace Engineering Sciences 1,5XXX,EN,ASEN,,0,3,P  - In Person,Masters,1,1,,,0,001,ASEN,Aerospace Engineering,,20137,
3.84,LEC - Lecture,4.64,4.54,5417,Numerical Methods in Engineering and Science,5XXX,EN,ASEN,,0,3,P  - In Person,Masters,2,1,,,0,002,ASEN,Aerospace Engineering,,20137,
3.66,LEC - Lecture,4.53,5,6519,Special Topics,6XXX,EN,ASEN,,0,3,P  - In Person,Masters,1,1,,,0,004,ASEN,Aerospace Engineering,,20137,
3.03,LEC - Lecture,4.78,5.09,1000,Creative Technology,1XXX,EN,CHEN,,0,3,P  - In Person,Lower,2,1,,,0,010,CHEN,Chemical Engineering,,20137,
3.13,LEC - Lecture,4.37,4.45,1211,General Chemistry for Engineers,1XXX,EN,CHEN,,0,3,P  - In Person,Lower,1,1,,,0,001,CHEN,Chemical Engineering,,20137,
2.19,LEC - Lecture,4.92,5.24,2120,Chemical Engineering Material and Energy Balances,2XXX,EN,CHEN,,0,3,P  - In Person,Lower,1,2,,,0,001,CHEN,Chemical Engineering,,20137,
2.27,LEC - Lecture,5,5.12,2120,Chemical Engineering Material and Energy Balances,2XXX,EN,CHEN,,0,3,P  - In Person,Lower,1,2,,,0,002,CHEN,Chemical Engineering,,20137,
2.63,LEC - Lecture,4.92,5.21,3010,Applied Data Analysis,3XXX,EN,CHEN,,0,3,P  - In Person,Upper,1,2,,,0,001,CHEN,Chemical Engineering,,20137,
2.88,LEC - Lecture,4.56,5.16,3010,Applied Data Analysis,3XXX,EN,CHEN,,0,3,P  - In Person,Upper,1,1,,,0,003,CHEN,Chemical Engineering,,20137,
2.63,LEC - Lecture,4.29,4.3,3210,Chemical Engineering Heat Transfer,3XXX,EN,CHEN,,0,3,P  - In Person,Upper,1,2,,,0,001,CHEN,Chemical Engineering,,20137,
2.89,LEC - Lecture,3.66,3.54,3320,Chemical Engineering Thermodynamics,3XXX,EN,CHEN,,0,3,P  - In Person,Upper,1,1,,,0,003,CHEN,Chemical Engineering,,20137,
4,IND - Ind Study,,,4010,Chemical Engineering Senior Thesis 1,4XXX,EN,CHEN,,0,2,IS - Independent Study,Upper,1,,,,0,901,CHEN,Chemical Engineering,,20137,
3.96,SEM - Seminar,4.24,4.89,4090,Senior Seminar,4XXX,EN,CHEN,,0,1,P  - In Person,Upper,1,1,,,0,001,CHEN,Chemical Engineering,,20137,
3.51,MLS - Main Lab,5,5.83,4130,Chemical Engineering Laboratory 2,4XXX,EN,CHEN,,0,2,P  - In Person,Upper,1,1,,,1,800,CHEN,Chemical Engineering,,20137,
3.54,MLS - Main Lab,3.9,3.8,4130,Chemical Engineering Laboratory 2,4XXX,EN,CHEN,,0,2,P  - In Person,Upper,1,1,,,1,801,CHEN,Chemical Engineering,,20137,
3.51,LEC - Lecture,5.16,5.37,4450,Polymer Chemistry,4XXX,EN,CHEN,,0,3,P  - In Person,Upper,2,2,,,0,010,CHEN,Chemical Engineering,,20137,
3.27,LEC - Lecture,4.48,4.96,4520,Chemical Process Synthesis,4XXX,EN,CHEN,,0,3,P  - In Person,Upper,1,1,,,0,001,CHEN,Chemical Engineering,,20137,
3.45,LEC - Lecture,4.53,5.1,4520,Chemical Process Synthesis,4XXX,EN,CHEN,,0,3,P  - In Person,Upper,1,1,,,0,002,CHEN,Chemical Engineering,,20137,
3.7,MLS - Main Lab,4.65,5.76,4810,Biological Engineering Laboratory,4XXX,EN,CHEN,,0,2,P  - In Person,Upper,1,1,,,1,800,CHEN,Chemical Engineering,,20137,
3.57,MLS - Main Lab,4.15,5.35,4810,Biological Engineering Laboratory,4XXX,EN,CHEN,,0,2,P  - In Person,Upper,1,1,,,1,801,CHEN,Chemical Engineering,,20137,
3.57,LEC - Lecture,5.06,5.31,4820,Biochemical Separations,4XXX,EN,CHEN,,0,3,P  - In Person,Upper,1,1,,,0,001,CHEN,Chemical Engineering,,20137,
3.27,LEC - Lecture,4.82,5.09,4838,Special Topics in Chemical Engineering,4XXX,EN,CHEN,,0,3,P  - In Person,Upper,2,1,,,0,005,CHEN,Chemical Engineering,,20137,
,SEM - Seminar,,,5090,Seminar in Chemical Engineering,5XXX,EN,CHEN,,0,1,P  - In Person,Masters,1,,,,0,002,CHEN,Chemical Engineering,,20137,
4,LEC - Lecture,3,5,5343,Research Methods and Ethics Seminar,5XXX,EN,CHEN,,0,1,P  - In Person,Masters,1,1,,,0,003,CHEN,Chemical Engineering,,20137,
3.47,LEC - Lecture,3.29,4.07,5370,Intermediate Chemical Engineering Thermodynamics,5XXX,EN,CHEN,,0,3,P  - In Person,Masters,1,2,,,0,001,CHEN,Chemical Engineering,,20137,
3.36,LEC - Lecture,4.02,4.15,5390,Chemical Reactor Engineering,5XXX,EN,CHEN,,0,3,P  - In Person,Masters,1,2,,,0,002,CHEN,Chemical Engineering,,20137,
3.26,LEC - Lecture,5.43,5.5,5740,Analytical Methods in Chemical Engineering,5XXX,EN,CHEN,,0,3,P  - In Person,Masters,1,2,,,0,001,CHEN,Chemical Engineering,,20137,
3.37,LEC - Lecture,3.78,5.02,1000,Computer Science as a Field of Work and Study,1XXX,EN,CSCI,,0,1,P  - In Person,Lower,1,1,,,0,001,CSCI,Computer Science,,20137,
2.42,LEC - Lecture,3.8,3.75,1300,Computer Science 1: Starting Computing,1XXX,EN,CSCI,,0,4,P  - In Person,Lower,1,1,,,0,010,CSCI,Computer Science,,20137,
2.89,LEC - Lecture,4.77,4.77,1300,Computer Science 1: Starting Computing,1XXX,EN,CSCI,,0,4,P  - In Person,Lower,1,1,,,0,100,CSCI,Computer Science,,20137,
3.01,LEC - Lecture,4.91,5.14,2270,Computer Science 2: Data Structures,2XXX,EN,CSCI,,0,4,P  - In Person,Lower,1,1,,,0,010,CSCI,Computer Science,,20137,
2.96,LEC - Lecture,4.77,4.94,2270,Computer Science 2: Data Structures,2XXX,EN,CSCI,,0,4,P  - In Person,Lower,1,1,,,0,100,CSCI,Computer Science,,20137,
2.87,LEC - Lecture,4.2,4.19,2400,Computer Systems,2XXX,EN,CSCI,,0,4,P  - In Person,Lower,1,1,,,0,010,CSCI,Computer Science,,20137,
3,LEC - Lecture,3.31,3.17,2820,Linear Algebra with Computer Science Applications,2XXX,EN,CSCI,,0,3,P  - In Person,Lower,1,1,,,0,001,CSCI,Computer Science,,20137,
3.56,LEC - Lecture,3.68,3.93,2824,Discrete Structures,2XXX,EN,CSCI,,0,3,P  - In Person,Lower,1,1,,,0,001,CSCI,Computer Science,,20137,
3.43,LEC - Lecture,5.46,5.77,3104,Algorithms,3XXX,EN,CSCI,,0,4,P  - In Person,Upper,1,1,,,0,010,CSCI,Computer Science,,20137,
3.64,PRA - Practicum,,,3112,Human-Centered Computing Professional Development,3XXX,EN,CSCI,,0,1,P  - In Person,Upper,1,,,,1,801,CSCI,Computer Science,,20137,
3.36,LEC - Lecture,2.55,2.45,3155,Principles of Programming Languages,3XXX,EN,CSCI,,0,4,P  - In Person,Upper,1,1,,,0,010,CSCI,Computer Science,,20137,
3.78,LEC - Lecture,3.34,2.83,3202,Introduction to Artificial Intelligence,3XXX,EN,CSCI,,0,3,P  - In Person,Upper,1,1,,,0,001,CSCI,Computer Science,,20137,
3.22,LEC - Lecture,2.55,2.73,3287,Database and Information Systems,3XXX,EN,CSCI,,0,3,P  - In Person,Upper,2,1,,,0,001,CSCI,Computer Science,,20137,
3.44,LEC - Lecture,4.57,4.57,3302,Introduction to Robotics,3XXX,EN,CSCI,,0,3,P  - In Person,Upper,2,1,,,0,010,CSCI,Computer Science,,20137,
3.28,LEC - Lecture,3.12,3.12,3308,Software Engineering Methods and Tools,3XXX,EN,CSCI,,0,3,P  - In Person,Upper,1,1,,,0,010,CSCI,Computer Science,,20137,
3.34,LEC - Lecture,5.43,5.75,4113,Unix System Administration,4XXX,EN,CSCI,,0,3,P  - In Person,Upper,2,1,,,0,001,CSCI,Computer Science,,20137,
3.75,LEC - Lecture,5.21,5.46,4229,Computer Graphics,4XXX,EN,CSCI,,0,3,P  - In Person,Upper,2,1,,,0,001,CSCI,Computer Science,,20137,
3.15,LEC - Lecture,4.84,4.96,4273,Network Systems,4XXX,EN,CSCI,,0,3,P  - In Person,Upper,3,1,,,0,001,CSCI,Computer Science,,20137,
3.63,LEC - Lecture,4.11,3.84,4308,Software Engineering Project 1,4XXX,EN,CSCI,,0,4,P  - In Person,Upper,1,1,,,0,010,CSCI,Computer Science,,20137,
3.82,LEC - Lecture,3.8,4.37,4314,Algorithms for Molecular Biology,4XXX,EN,CSCI,,0,3,P  - In Person,Upper,5,1,,,0,001,CSCI,Computer Science,,20137,
3.27,LEC - Lecture,4.63,4.72,4576,High-Performance Scientific Computing,4XXX,EN,CSCI,,0,4,P  - In Person,Upper,2,1,,,0,010,CSCI,Computer Science,,20137,
3.4,LEC - Lecture,4.23,4.23,4809,Computer Animation,4XXX,EN,CSCI,,0,3,P  - In Person,Upper,3,1,,,0,001,CSCI,Computer Science,,20137,
3.44,LEC - Lecture,5.65,5.71,4830,Special Topics in Computer Science,4XXX,EN,CSCI,,0,3,P  - In Person,Upper,2,1,,,0,001,CSCI,Computer Science,,20137,
3.92,LEC - Lecture,5.21,5.29,4830,Special Topics in Computer Science,4XXX,EN,CSCI,,0,3,P  - In Person,Upper,2,1,,,0,002,CSCI,Computer Science,,20137,
3.47,LEC - Lecture,4.5,4.9,4830,Special Topics in Computer Science,4XXX,EN,CSCI,,0,3,P  - In Person,Upper,2,1,,,0,007,CSCI,Computer Science,,20137,
3.57,LEC - Lecture,4.67,5.11,5352,Network Analysis and Modeling,5XXX,EN,CSCI,,0,3,P  - In Person,Masters,1,1,,,0,001,CSCI,Computer Science,,20137,
4,LEC - Lecture,4.44,5.06,5444,Introduction to Theory of Computation,5XXX,EN,CSCI,,0,3,P  - In Person,Masters,1,1,,,0,001,CSCI,Computer Science,,20137,
3.44,LEC - Lecture,4.6,4.73,5535,Fundamental Concepts of Programming Languages,5XXX,EN,CSCI,,0,3,P  - In Person,Masters,2,1,,,0,001,CSCI,Computer Science,,20137,
3.52,LEC - Lecture,5.13,5.5,5606,Principles of Numerical Computation,5XXX,EN,CSCI,,0,3,P  - In Person,Masters,1,1,,,0,001,CSCI,Computer Science,,20137,
3.77,LEC - Lecture,5.53,5.68,5654,Linear Programming,5XXX,EN,CSCI,,0,3,P  - In Person,Masters,1,1,,,0,002,CSCI,Computer Science,,20137,
3.8,LEC - Lecture,5.25,5.44,5673,Distributed Systems,5XXX,EN,CSCI,,0,3,P  - In Person,Masters,2,1,,,0,001,CSCI,Computer Science,,20137,
3.8,LEC - Lecture,4.95,5.11,5832,Natural Language Processing,5XXX,EN,CSCI,,0,3,P  - In Person,Masters,2,1,,,0,001,CSCI,Computer Science,,20137,
3.97,SEM - Seminar,5.78,6,5919,HCC Survey and Synthesis: Foundations and Trajectories,5XXX,EN,CSCI,,0,3,P  - In Person,Masters,1,1,,,0,001,CSCI,Computer Science,,20137,
3.83,OTH - Other,5,5.54,6000,Introduction to the Computer Science PhD Program,6XXX,EN,CSCI,,0,1,P  - In Person,Masters,1,1,,,0,002,CSCI,Computer Science,,20137,
3.71,LEC - Lecture,5.13,5.4,7222,Topics in Nonsymbolic Artificial Intelligence,7XXX,EN,CSCI,,0,3,P  - In Person,Doctoral,1,1,,,0,001,CSCI,Computer Science,,20137,
3.97,SEM - Seminar,4.57,4.67,7772,Topics in Cognitive Science,7XXX,EN,CSCI,,0,1,P  - In Person,Doctoral,4,1,,,0,001,CSCI,Computer Science,,20137,
3.32,LEC - Lecture,4.22,4.43,1027,Engineering Drawing,1XXX,EN,CVEN,,0,3,P  - In Person,Lower,1,2,,,0,010,AREN,Architectural Engineering,,20137,
3.21,LEC - Lecture,5.42,5.6,2050,Building Materials and Systems,2XXX,EN,CVEN,,0,3,P  - In Person,Lower,1,1,,,0,001,AREN,Architectural Engineering,,20137,
3.18,LEC - Lecture,4.19,4.43,2110,Thermodynamics,2XXX,EN,CVEN,,0,3,P  - In Person,Lower,1,1,,,0,001,AREN,Architectural Engineering,,20137,
3.47,LEC - Lecture,,,2110,Thermodynamics,2XXX,EN,CVEN,,0,3,P  - In Person,Lower,1,,,,0,340,AREN,Architectural Engineering,,20137,
3.41,LEC - Lecture,3.97,4.86,3010,Mechanical Systems for Buildings,3XXX,EN,CVEN,,0,3,P  - In Person,Upper,1,1,,,0,001,AREN,Architectural Engineering,,20137,
3.47,LEC - Lecture,3.72,4.02,3050,Environmental Systems for Buildings 1,3XXX,EN,CVEN,,0,3,P  - In Person,Upper,1,1,,,0,001,AREN,Architectural Engineering,,20137,
